Quarter,Product,Category,25th Pct,75th Pct,Median,AH Response
2019Q1,FHA 30 Year Fixed,NonBank,3.42,3.83,3.49,3.43
2019Q1,FHA 30 Year Fixed,NonBank,3.42,3.83,3.49,3.43
2019Q1,FNMA/FHLMC 15 Year Fixed,NonBank,3.2,3.55,3.35,3.56
2019Q1,FNMA/FHLMC 15 Year Fixed,NonBank,3.2,3.55,3.35,3.56
2019Q1,FNMA/FHLMC 30 Year Fixed,NonBank,4.39,4.9,4.68,4.51
2019Q1,FNMA/FHLMC 30 Year Fixed,NonBank,4.39,4.9,4.68,4.51
2019Q1,VA 30 Year Fixed,NonBank,3.34,3.93,3.59,3.55
2019Q1,VA 30 Year Fixed,NonBank,3.34,3.93,3.59,3.55
2019Q1,FHA 30 Year Fixed,Top 20,3.51,3.87,3.83,3.43
2019Q1,FHA 30 Year Fixed,Top 20,3.51,3.87,3.83,3.43
2019Q1,FNMA/FHLMC 15 Year Fixed,Top 20,3.2,3.51,3.45,3.56
2019Q1,FNMA/FHLMC 15 Year Fixed,Top 20,3.2,3.51,3.45,3.56
2019Q1,FNMA/FHLMC 30 Year Fixed,Top 20,4.65,4.86,4.9,4.51
2019Q1,FNMA/FHLMC 30 Year Fixed,Top 20,4.65,4.86,4.9,4.51
2019Q1,VA 30 Year Fixed,Top 20,3.41,4.02,3.86,3.55
2019Q1,VA 30 Year Fixed,Top 20,3.41,4.02,3.86,3.55
2019Q2,FHA 30 Year Fixed,NonBank,2.87,3.1,2.95,2.87
2019Q2,FHA 30 Year Fixed,NonBank,2.87,3.1,2.95,2.87
2019Q2,FNMA/FHLMC 15 Year Fixed,NonBank,2.85,3.15,3,3.18
2019Q2,FNMA/FHLMC 15 Year Fixed,NonBank,2.85,3.15,3,3.18
2019Q2,FNMA/FHLMC 30 Year Fixed,NonBank,3.82,4.01,3.89,3.95
2019Q2,FNMA/FHLMC 30 Year Fixed,NonBank,3.82,4.01,3.89,3.95
2019Q2,VA 30 Year Fixed,NonBank,2.97,3.14,3.02,3.1
2019Q2,VA 30 Year Fixed,NonBank,2.97,3.14,3.02,3.1
2019Q2,FHA 30 Year Fixed,Top 20,2.94,3.37,3.18,2.87
2019Q2,FHA 30 Year Fixed,Top 20,2.94,3.37,3.18,2.87
2019Q2,FNMA/FHLMC 15 Year Fixed,Top 20,2.81,3.16,2.94,3.18
2019Q2,FNMA/FHLMC 15 Year Fixed,Top 20,2.81,3.16,2.94,3.18
2019Q2,FNMA/FHLMC 30 Year Fixed,Top 20,3.82,4.26,4.02,3.95
2019Q2,FNMA/FHLMC 30 Year Fixed,Top 20,3.82,4.26,4.02,3.95
2019Q2,VA 30 Year Fixed,Top 20,2.82,3.24,3.05,3.1
2019Q2,VA 30 Year Fixed,Top 20,2.82,3.24,3.05,3.1
2019Q3,FHA 30 Year Fixed,NonBank,2.47,2.72,2.61,2.47
2019Q3,FHA 30 Year Fixed,NonBank,2.47,2.72,2.61,2.47
2019Q3,FNMA/FHLMC 15 Year Fixed,NonBank,2.64,3.05,2.79,2.75
2019Q3,FNMA/FHLMC 15 Year Fixed,NonBank,2.64,3.05,2.79,2.75
2019Q3,FNMA/FHLMC 30 Year Fixed,NonBank,3.19,3.75,3.46,3.28
2019Q3,FNMA/FHLMC 30 Year Fixed,NonBank,3.19,3.75,3.46,3.28
2019Q3,VA 30 Year Fixed,NonBank,2.69,2.79,2.78,2.69
