Quarter,Product,Category,25th Pct,75th Pct,Median,AH Response
2019Q1,FNMA/FHLMC 15 Year Fixed,All,3.041,3.483,3.257,3.56
2019Q1,FNMA/FHLMC 15 Year Fixed,Top 10,3.102,3.403,3.223,3.56
2019Q1,FNMA/FHLMC 30 Year Fixed,All,4.317,4.907,4.51,4.51
2019Q1,FNMA/FHLMC 30 Year Fixed,Top 10,4.502,4.937,4.826,4.51
2019Q1,GNMA 15 Year Fixed,All,2.202,2.916,2.823,2.85
2019Q1,GNMA 15 Year Fixed,Top 10,2.202,2.916,2.823,2.85
2019Q1,GNMA 30 Year Fixed,All,3.348,3.886,3.544,3.45
2019Q1,GNMA 30 Year Fixed,Top 10,3.708,4.058,3.815,3.45
2019Q2,FNMA/FHLMC 15 Year Fixed,All,2.69,3.15,2.88,3.18
2019Q2,FNMA/FHLMC 15 Year Fixed,Top 10,2.79,3.04,2.83,3.18
2019Q2,FNMA/FHLMC 30 Year Fixed,All,3.79,4.15,3.99,3.99
2019Q2,FNMA/FHLMC 30 Year Fixed,Top 10,3.66,4.19,3.99,3.99
2019Q2,GNMA 15 Year Fixed,All,1.98,2.68,2.49,2.53
2019Q2,GNMA 15 Year Fixed,Top 10,2.4,2.66,2.54,2.53
2019Q2,GNMA 30 Year Fixed,All,2.93,3.37,3.03,2.91
2019Q2,GNMA 30 Year Fixed,Top 10,2.95,3.65,3.37,2.91
2019Q3,FNMA/FHLMC 15 Year Fixed,All,2.286,2.762,2.483,2.75
2019Q3,FNMA/FHLMC 15 Year Fixed,Top 10,2.398,2.704,2.456,2.75
2019Q3,FNMA/FHLMC 30 Year Fixed,All,3.087,3.565,3.253,3.34
2019Q3,FNMA/FHLMC 30 Year Fixed,Top 10,2.935,3.666,3.27,3.34
2019Q3,GNMA 15 Year Fixed,All,1.779,2.291,2.138,2.22
2019Q3,GNMA 15 Year Fixed,Top 10,2.039,2.328,2.138,2.22
2019Q3,GNMA 30 Year Fixed,All,2.442,2.933,2.742,2.51
2019Q3,GNMA 30 Year Fixed,Top 10,2.432,3.093,2.933,2.51
2019Q4,FNMA/FHLMC 15 Year Fixed,All,2.494,2.918,2.72,3.18
2019Q4,FNMA/FHLMC 15 Year Fixed,Top 10,2.549,2.748,2.639,3.18
2019Q4,FNMA/FHLMC 30 Year Fixed,All,3.455,3.976,3.69,3.89
2019Q4,FNMA/FHLMC 30 Year Fixed,Top 10,3.372,4.099,3.929,3.89
2019Q4,GNMA 15 Year Fixed,All,1.829,2.36,2.142,2.38
2019Q4,GNMA 15 Year Fixed,Top 10,1.996,2.423,2.263,2.38
2019Q4,GNMA 30 Year Fixed,All,2.646,3.18,2.959,3.0
2019Q4,GNMA 30 Year Fixed,Top 10,2.89,3.414,3.198,3.0
2020Q1,FNMA/FHLMC 15 Year Fixed,All,2.067,2.511,2.366,2.5
2020Q1,FNMA/FHLMC 15 Year Fixed,Top 10,2.084,2.397,2.195,2.5
2020Q1,FNMA/FHLMC 30 Year Fixed,All,2.967,3.393,3.119,3.21
2020Q1,FNMA/FHLMC 30 Year Fixed,Top 10,2.641,3.344,3.103,3.21
2020Q1,GNMA 15 Year Fixed,All,1.607,2.017,1.923,1.93
2020Q1,GNMA 15 Year Fixed,Top 10,1.679,2.137,2.008,1.93
2020Q1,GNMA 30 Year Fixed,All,2.355,2.906,2.617,2.39
